ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:26:00.383|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.409|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.448|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.488|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.516|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.554|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.588|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.615|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.655|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.691|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.718|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.759|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.793|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.821|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.860|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.898|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:00.925|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:00.962|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.006|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.033|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.068|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.106|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.132|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.169|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.204|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.231|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.271|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.305|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.331|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.367|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.399|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.426|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.461|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.495|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.522|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.558|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.595|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.622|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.657|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.696|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.723|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.760|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.795|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.821|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.853|DownloadPkgScheduleFunc|2408|[I]:schedule: 12000/205000
type:0 req:1336974564, rpt:1055
10-25 17:26:01.855|MagicLinkOtaGetReportInfo|3351|[I]:succ
10-25 17:26:01.857|CloudLinkMqttAsyncPublish|714|[I]:mqtt async pub
10-25 17:26:01.858|MagicLinkRptStatusToCloud|676|[I]:pub succ
10-25 17:26:01.859|ReportOtaServiceStatus|791|[I]:succ
10-25 17:26:01.860|LocalCmdProcess|966|[I]:mqtt pub
10-25 17:26:01.866|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.902|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:01.930|CloudLinkMqttPubld|143|[I]:send succ
s:1,packetId:55
10-25 17:26:01.932|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:01.969|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.006|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.033|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.054|ConnectMsgProcessFunc|2338|[I]:running
10-25 17:26:02.068|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.109|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.135|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.171|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.211|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.238|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.274|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.316|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.343|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.377|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.416|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.443|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.480|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.520|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.547|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.581|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.615|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.642|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.676|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.712|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.739|ConnectionHttpSend|143|[I]:send succ
